SITEID,STARTDATE,ENDDATE,PBM,GOM,GEM,Valid_gem,gemValPct
NY20,1/1/2009 3:40,1/1/2009 5:40,-9,-9,-9,0,0
NY20,1/1/2009 6:40,1/1/2009 8:40,9.866,0.317,1.306,22,100
NY20,1/1/2009 10:20,1/1/2009 12:20,10.018,0.364,1.312,22,100
NY20,1/1/2009 13:20,1/1/2009 15:20,12.813,0.335,1.286,22,100
NY20,1/1/2009 16:20,1/1/2009 18:20,14.013,0.591,1.306,22,100
NY20,1/1/2009 19:20,1/1/2009 21:20,11.982,0.388,1.359,22,100
NY20,1/1/2009 22:20,1/2/2009 0:20,11.537,0.378,1.378,22,100
NY20,1/2/2009 1:20,1/2/2009 3:20,11.823,0.31,1.363,22,100
NY20,1/2/2009 4:20,1/2/2009 6:20,11.494,0.431,1.323,22,100
NY20,1/2/2009 7:20,1/2/2009 9:20,6.397,0.313,1.341,22,100
NY20,1/2/2009 11:00,1/2/2009 13:00,7.548,0.381,1.355,22,100
NY20,1/2/2009 14:00,1/2/2009 16:00,3.839,0.388,1.387,22,100
NY20,1/2/2009 17:00,1/2/2009 17:50,-9,-9,1.396,8,100
NY20,1/2/2009 20:05,1/2/2009 22:05,-9,-9,1.53,22,100
NY20,1/2/2009 23:05,1/3/2009 1:05,1.642,0.895,1.503,22,100
NY20,1/3/2009 2:05,1/3/2009 4:05,1.101,0.483,1.472,22,100
NY20,1/3/2009 5:05,1/3/2009 7:05,1.702,1.207,1.485,22,100
NY20,1/3/2009 8:05,1/3/2009 10:05,1.379,0.835,1.526,22,100
NY20,1/3/2009 12:45,1/3/2009 16:55,-9,-9,1.503,41,82
NY20,1/3/2009 17:55,1/3/2009 21:45,-9,-9,1.47,36,81
NY20,1/4/2009 0:05,1/4/2009 4:15,-9,-9,1.435,43,86
NY20,1/4/2009 5:15,1/4/2009 7:15,-9,-9,1.388,22,100
NY20,1/4/2009 14:05,1/4/2009 16:25,-9,-9,1.454,19,67
NY20,1/4/2009 19:10,1/4/2009 21:10,-9,-9,1.404,22,100
NY20,1/5/2009 4:55,1/5/2009 6:55,5.749,-9,1.416,22,100
NY20,1/5/2009 8:35,1/5/2009 10:35,4.042,0.409,1.509,22,100
NY20,1/5/2009 11:35,1/5/2009 13:35,3.669,0.427,1.563,22,100
NY20,1/5/2009 14:35,1/5/2009 16:35,2.728,0.509,1.574,22,100
NY20,1/5/2009 17:35,1/5/2009 19:35,3.236,0.385,1.554,22,100
NY20,1/5/2009 20:35,1/5/2009 22:35,6.584,0.467,1.503,22,100
NY20,1/5/2009 23:35,1/6/2009 1:35,8.017,0.362,1.487,22,100
NY20,1/6/2009 2:35,1/6/2009 4:35,11.262,-9,1.463,22,100
NY20,1/6/2009 5:25,1/6/2009 8:35,-9,-9,1.473,32,88
NY20,1/6/2009 9:35,1/6/2009 11:35,-9,-9,1.43,22,100
NY20,1/6/2009 13:15,1/6/2009 16:20,-9,-9,1.494,26,74
NY20,1/6/2009 17:20,1/6/2009 19:20,-9,-9,1.515,22,100
NY20,1/6/2009 20:20,1/6/2009 23:05,-9,-9,1.532,25,80
NY20,1/7/2009 0:05,1/7/2009 2:05,-9,-9,1.474,22,100
NY20,1/7/2009 3:05,1/7/2009 5:05,8.671,0.37,1.47,22,100
NY20,1/7/2009 6:05,1/7/2009 8:05,9.068,0.496,1.508,22,100
NY20,1/7/2009 9:05,1/7/2009 11:05,7.942,0.419,1.476,22,100
NY20,1/7/2009 12:05,1/7/2009 14:05,6.779,0.365,1.467,22,100
NY20,1/7/2009 15:40,1/7/2009 17:40,3.926,0.51,1.502,22,100
NY20,1/7/2009 18:40,1/7/2009 20:40,2.212,0.41,1.51,22,100
NY20,1/7/2009 21:40,1/7/2009 23:40,1.134,0.293,1.508,22,100
NY20,1/8/2009 0:40,1/8/2009 2:40,0.774,0.151,1.515,22,100
NY20,1/8/2009 3:40,1/8/2009 5:40,0.574,0.429,1.669,22,100
NY20,1/8/2009 6:40,1/8/2009 8:40,0.959,0,1.629,22,100
NY20,1/8/2009 9:40,1/8/2009 11:40,2.78,0.489,1.572,22,100
NY20,1/8/2009 12:40,1/8/2009 14:40,5.336,0.373,1.466,22,100
NY20,1/8/2009 17:40,1/8/2009 21:55,-9,-9,1.479,39,76
