SITEID,STARTDATE,ENDDATE,PBM,GOM,GEM,Valid_gem,gemValPct
VT99,1/3/2009 1:05,1/3/2009 3:05,27.192,3.595,1.832,22,100
VT99,1/3/2009 4:00,1/3/2009 7:05,23.742,3.41,1.726,23,65
VT99,1/3/2009 8:05,1/3/2009 10:05,23.58,2.978,1.749,22,100
VT99,1/3/2009 11:05,1/3/2009 13:05,49.649,4.737,1.793,22,100
VT99,1/3/2009 14:05,1/3/2009 16:05,25.016,2.226,1.726,22,100
VT99,1/3/2009 17:05,1/3/2009 19:05,28.949,2.191,1.697,22,100
VT99,1/3/2009 20:05,1/3/2009 22:05,43.902,2.667,1.635,22,100
VT99,1/3/2009 23:05,1/4/2009 1:05,35.417,2.31,1.659,22,100
VT99,1/4/2009 2:05,1/4/2009 4:05,37.036,1.295,1.668,22,100
VT99,1/4/2009 5:00,1/4/2009 8:05,28.258,0.922,1.664,23,65
VT99,1/4/2009 9:05,1/4/2009 11:05,18.667,0.151,1.681,22,100
VT99,1/4/2009 12:05,1/4/2009 14:05,31.693,0.888,1.654,22,100
VT99,1/4/2009 15:05,1/4/2009 17:05,42.026,1.319,1.651,22,100
VT99,1/4/2009 18:05,1/4/2009 20:05,45.67,2.293,1.644,22,100
VT99,1/4/2009 21:05,1/4/2009 23:05,39.021,1.855,1.652,22,100
VT99,1/5/2009 0:05,1/5/2009 2:05,32.565,1.398,1.652,22,100
VT99,1/5/2009 3:05,1/5/2009 5:05,23.49,0.795,1.64,22,100
VT99,1/5/2009 6:00,1/5/2009 9:05,11.713,1.325,1.668,23,65
VT99,1/5/2009 10:05,1/5/2009 12:05,15.411,1.454,1.7,22,100
VT99,1/5/2009 13:05,1/5/2009 15:05,13.426,1.838,1.719,22,100
VT99,1/5/2009 16:10,1/5/2009 18:10,11.002,2.257,1.755,22,100
VT99,1/5/2009 20:05,1/5/2009 22:05,9.817,1.495,1.727,22,100
VT99,1/5/2009 23:05,1/6/2009 1:05,12.594,1.018,1.715,22,100
VT99,1/6/2009 2:05,1/6/2009 4:05,24.126,0.891,1.697,22,100
